№	Бодлогын нэр	URL
1	Томоос жижигт	https://www.spoj.com/RGB6/problems/RGB7061
2	4 тооны бага	https://www.spoj.com/RGB6/problems/RGB7104
3	Цэгийн байрлал	https://www.spoj.com/RGB6/problems/RGB7173
4	Факториалын хүрд	https://www.spoj.com/RGB6/problems/RGB7212/
5	Үржвэр нийлбэр 4	https://www.spoj.com/RGB6/problems/RGB7216/
6	Факториалуудын нийлбэр	https://www.spoj.com/RGB6/problems/RGB7219

7	Анхны тоо	https://www.spoj.com/RGB7/problems/RGB7298
8	Төгс тоо	https://www.spoj.com/RGB7/problems/RGB7299

9	Тоон дахь их цифр	https://www.spoj.com/RGB6/problems/RGB7306
10	Тонгорогсон тоо	https://www.spoj.com/RGB6/problems/RGB7308
11	Палиндром эсэх	https://www.spoj.com/RGB6/problems/RGB7309
12	Тооны факториал	https://www.spoj.com/RGB6/problems/RGB7312
13	Гурван тооны ХБЕХ	https://www.spoj.com/RGB6/problems/RGB7316/
14	Давхар давталт 0	https://www.spoj.com/RGB6/problems/RGB7400/
15	Давхар давталт 4	https://www.spoj.com/RGB6/problems/RGB7404/
16	Давхар давталт 5	https://www.spoj.com/RGB6/problems/RGB7405/
17	Илэрхийлэл 1	https://www.spoj.com/RGB6/problems/RGB7406
18	Массив тэгээс их нийлбэр	https://www.spoj.com/RGB6/problems/RGB7501/
19	Массивын бага	https://www.spoj.com/RGB6/problems/RGB7505/
20	Массивын их хэд	https://www.spoj.com/RGB6/problems/RGB7508
